,,cycle,cycle,cycle,cycle,cycle,cycle,cycle,cycle,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
asset,zone,,,,,,,,,,,,,,,,
M15,AW1,174.0,199.0977011494253,117.93251080389719,1.0,100.5,194.0,309.5,400.0,174,0 days 00:04:47.954022,0 days 00:02:32.633332,0 days 00:00:32,0 days 00:02:57.750000,0 days 00:04:22,0 days 00:06:25.500000,0 days 00:11:43
M15,AW2,167.0,194.92215568862275,114.4772294931767,2.0,100.0,188.0,290.5,399.0,167,0 days 00:05:08.772455,0 days 00:02:25.651741,0 days 00:00:37,0 days 00:03:32,0 days 00:05:08,0 days 00:06:35,0 days 00:12:51
M15,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:30.747500,0 days 00:04:07.756042,0 days 00:04:26,0 days 00:10:20.250000,0 days 00:13:01,0 days 00:16:16.250000,0 days 00:27:39
M15,BE1,165.0,210.0,116.85768914451083,6.0,112.0,207.0,318.0,400.0,165,0 days 00:04:57.866666,0 days 00:02:26.387663,0 days 00:00:40,0 days 00:03:00,0 days 00:04:42,0 days 00:06:42,0 days 00:11:08
M15,BE2,179.0,196.7094972067039,117.4805002670835,1.0,96.5,200.0,295.5,399.0,179,0 days 00:05:18.067039,0 days 00:02:32.385178,0 days 00:00:21,0 days 00:03:10.500000,0 days 00:05:27,0 days 00:07:14,0 days 00:11:29
M15,BW1,308.0,195.6818181818182,117.15057292539629,1.0,92.75,195.5,296.5,400.0,308,0 days 00:06:01.172077,0 days 00:02:37.008805,0 days 00:00:15,0 days 00:04:13,0 days 00:05:43.500000,0 days 00:07:58.250000,0 days 00:13:12
M15,BW2,172.0,198.50581395348837,117.98000113474598,4.0,93.75,196.0,298.25,400.0,172,0 days 00:05:35.767441,0 days 00:02:36.698442,0 days 00:00:57,0 days 00:03:39,0 days 00:05:22,0 days 00:07:29.250000,0 days 00:11:36
M15,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:40.737500,0 days 00:07:46.650898,0 days 00:19:50,0 days 00:29:49.750000,0 days 00:35:16.500000,0 days 00:41:28.250000,0 days 00:54:55
M15,I,317.0,201.93059936908517,116.2011088585478,1.0,102.0,197.0,308.0,400.0,317,0 days 00:05:53.993690,0 days 00:02:35.404433,0 days 00:00:31,0 days 00:04:08,0 days 00:05:45,0 days 00:07:31,0 days 00:12:58
M15,O,288.0,199.59027777777777,115.19027816571459,1.0,102.75,198.5,298.25,398.0,288,0 days 00:05:54.781250,0 days 00:02:29.724639,0 days 00:00:23,0 days 00:04:07.750000,0 days 00:05:56,0 days 00:07:40,0 days 00:13:31
M16,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:13.587500,0 days 00:04:04.135449,0 days 00:04:26,0 days 00:10:05,0 days 00:13:00,0 days 00:15:58.250000,0 days 00:27:46
M16,AE1,277.0,206.55595667870037,111.40620254815714,2.0,113.0,213.0,300.0,399.0,277,0 days 00:05:53.382671,0 days 00:02:43.675529,0 days 00:00:17,0 days 00:03:38,0 days 00:05:43,0 days 00:07:41,0 days 00:14:37
M16,AE2,292.0,200.83904109589042,115.11663642837424,1.0,99.5,205.5,298.25,398.0,292,0 days 00:05:50.996575,0 days 00:02:39.220081,0 days 00:00:17,0 days 00:03:55.250000,0 days 00:05:42,0 days 00:07:34.250000,0 days 00:14:40
M16,AW1,196.0,193.74489795918367,116.61770206694246,1.0,98.0,191.5,288.5,400.0,196,0 days 00:05:01.132653,0 days 00:02:43.394983,0 days 00:00:04,0 days 00:02:55.750000,0 days 00:04:49.500000,0 days 00:06:52.250000,0 days 00:11:55
M16,AW2,190.0,196.08947368421053,115.41939808692462,5.0,94.5,192.5,290.75,400.0,190,0 days 00:05:05.447368,0 days 00:02:34.003074,0 days 00:00:07,0 days 00:03:00,0 days 00:05:05,0 days 00:06:56.750000,0 days 00:11:33
M16,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:33.245000,0 days 00:04:06.595698,0 days 00:04:58,0 days 00:10:30.250000,0 days 00:13:16,0 days 00:16:20,0 days 00:26:44
M16,BE1,169.0,199.3550295857988,116.21262067314102,1.0,101.0,195.0,303.0,400.0,169,0 days 00:05:30.704142,0 days 00:02:48.732339,0 days 00:00:28,0 days 00:03:05,0 days 00:05:19,0 days 00:07:42,0 days 00:12:38
M16,BE2,163.0,188.94478527607362,106.74229098910025,2.0,102.5,184.0,276.5,397.0,163,0 days 00:05:28.110429,0 days 00:02:35.944949,0 days 00:00:54,0 days 00:03:29.500000,0 days 00:05:41,0 days 00:07:00,0 days 00:11:46
M16,BW1,291.0,208.65635738831614,118.67997588035433,1.0,102.0,211.0,318.5,400.0,291,0 days 00:06:02.312714,0 days 00:02:27.508696,0 days 00:01:06,0 days 00:04:12,0 days 00:05:55,0 days 00:07:46.500000,0 days 00:14:25
M16,BW2,162.0,207.3827160493827,115.81223483154376,6.0,109.25,219.0,310.75,400.0,162,0 days 00:05:06.425925,0 days 00:02:29.529149,0 days 00:00:36,0 days 00:03:06.750000,0 days 00:05:03.500000,0 days 00:06:37.750000,0 days 00:12:19
M16,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:18.980000,0 days 00:08:03.206955,0 days 00:20:13,0 days 00:29:00.750000,0 days 00:35:58.500000,0 days 00:42:54,0 days 00:55:13
M16,I,331.0,199.68277945619334,116.52165479380893,1.0,101.5,197.0,303.0,400.0,331,0 days 00:05:53.069486,0 days 00:02:38.760610,0 days 00:00:09,0 days 00:03:55,0 days 00:05:41,0 days 00:07:33.500000,0 days 00:13:54
M16,O,296.0,197.0777027027027,115.76875274146606,1.0,98.75,197.5,292.5,399.0,296,0 days 00:06:18.354729,0 days 00:02:38.658996,0 days 00:00:43,0 days 00:04:22.750000,0 days 00:06:10,0 days 00:08:12.750000,0 days 00:13:12
